Timestamp;GasRapid;GasFast;GasStandard;GasSlow;ValidatorsEntering;ValidatorsExiting;TotalValidatorsCount;TotalETHSupply;ETHBTC;ETHUSD;TransactionCountLast1Min;DetailedETHSupply;Eth2Staking;BurntFees;WithdrawnTotal;RSI;MACD;MACD_signal
2024-02-25 19:03:46;48138720109;35601714156;35532507120;35532507120;156;0;963891;122373866.2178;0.0593575713;3061.1404282053;889;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;60.0190514702;2.4139107618;2.7364864738
2024-02-25 19:05:41;46979267158;35100204003;35100204003;35100204003;156;0;963891;122373866.2178;0.0593329856;3059.7963481425;637;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;54.5047533572;1.8180044478;2.4229061301
2024-02-25 19:07:36;44739013482;33951658308;33951658308;33951658308;142;0;963905;122373866.2178;0.0592835368;3056.560335908;632;122373866.2178;1835991.25929186;4053833.83739558;7618584.3489546;46.9791548682;0.9984299565;1.9328223905
2024-02-25 19:10:49;44855779167;35386993980;35386993980;35386993980;142;0;963905;122373866.2178;0.0592744084;3056.5092582029;1419;122373866.2178;1835991.25929186;4053833.83739558;7618584.3489546;44.5460916072;0.5718040312;1.638154901
2024-02-25 19:12:41;45599161800;33513761414;33513761414;33513761414;142;0;963905;122373866.2178;0.0592584618;3055.0122619419;820;122373866.2178;1835991.25929186;4053833.83739558;7618584.3489546;35.8414893601;-0.6748638731;0.4816333882
2024-02-25 19:14:36;36747439669;29747439669;29747439669;29747439669;128;0;963919;122373866.2178;0.059266656;3053.2843784369;792;122373866.2178;1835991.25929186;4053833.83739558;7618584.3489546;40.6747488458;-1.0196046048;-0.0478989717
2024-02-25 19:16:38;40465036043;28613426695;28613426695;28613426695;128;0;963919;122373866.2178;0.0592489409;3051.8492161112;601;122373866.2178;1835991.25929186;4053833.83739558;7618584.3489546;37.5916150079;-1.1954826821;-0.273203748
2024-02-25 19:18:36;31785812991;25221355426;25221355426;25221355426;128;0;963919;122373866.2178;0.0592898745;3055.9173892167;765;122373866.2178;1835991.25929186;4053833.83739558;7618584.3489546;51.1660251293;-0.7358058202;-0.5754792289
2024-02-25 19:20:43;39139776603;30475341133;30475341133;30475341133;114;0;963933;122373866.2178;0.0593208291;3057.135426628;524;122373866.2178;1835991.25929186;4053833.83739558;7618584.3489546;54.7531639491;-0.4221415044;-0.5330692338
2024-02-25 19:22:47;41689572032;30718417586;30718417586;30718417586;114;0;963933;122373866.2178;0.059338392;3058.5761758498;842;122373866.2178;1835991.25929186;4053833.83739558;7618584.3489546;54.1881113793;0.0505743286;-0.3279630004
2024-02-25 19:24:40;45613070137;33669586282;33669586282;33669586282;114;0;963933;122373866.2178;0.0593685634;3059.0595995289;779;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;55.7254684188;0.4974361113;-0.0308318648
2024-02-25 19:26:30;43733218330;32372025703;32372025703;32372025703;114;0;963933;122373866.2178;0.0593597375;3059.2620206553;713;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;55.4418724251;0.5926052059;0.0975569739
2024-02-25 19:28:21;41000000000;27653263578;27653263578;27653263578;100;0;963947;122373866.2178;0.0593336026;3057.480534718;814;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;50.5471716901;0.4179907052;0.2074895095
2024-02-25 19:30:32;37287943171;32097658027;32097658027;32097658027;100;0;963947;122373866.2178;0.0593326189;3057.5090022879;734;122373866.2178;1835991.25929186;4053833.83739558;7618584.3489546;47.0525091184;0.2220666953;0.2313162414
2024-02-25 19:32:19;46014222987;35845689788;35845689788;35845689788;100;0;963947;122373866.2178;0.0593115123;3054.766845834;877;122373866.2178;1835991.25929186;4053833.83739558;7618584.3489546;49.3642392028;-0.060238983;0.1286182527
2024-02-25 19:34:15;44000000000;31460123052;31460123052;31460123052;86;0;963961;122373866.2178;0.0593118946;3055.2062257427;774;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;48.2386781827;-0.2525142818;-0.0136635802
2024-02-25 19:36:10;50880000000;32754553159;32754553159;32754553159;86;0;963961;122373866.2178;0.059327614;3057.6524586099;787;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;55.5097602713;0.0444648491;-0.0224587487
2024-02-25 19:38:00;44833108814;35025378142;35025378142;35025378142;86;0;963961;122373866.2178;0.0593821524;3060.3424633564;822;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;57.6749627241;0.6428413244;0.2175945361
2024-02-25 19:39:48;43319264140;30826827131;30826827131;30826827131;72;0;963975;122373866.2178;0.0593722199;3060.1603379393;694;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;55.5137405906;0.8446599947;0.4360226236
2024-02-25 19:41:35;39631714765;30138831403;30138831403;30138831403;72;0;963975;122373866.2178;0.0593621088;3059.529558409;575;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;53.0441079155;0.7433443563;0.5518231428
2024-02-25 19:43:25;39703559892;31007175693;31007175693;31007175693;72;0;963975;122373866.2178;0.0593531196;3060.2203717685;549;122373866.2178;1835991.25929186;4053833.83739558;7618584.3489546;55.3578471492;0.8189594942;0.6154612393
2024-02-25 19:45:11;38000000000;27735031755;26515741978;26515741978;72;0;963975;122373866.2178;0.0593328021;3059.0604755493;626;122373866.2178;1835991.25929186;4053833.83739558;7618584.3489546;52.3369840383;0.6814053592;0.6491430717
2024-02-25 19:47:49;37067331996;25882963186;25882963186;25882963186;58;0;963989;122373866.2178;0.0593617511;3060.5588348709;771;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;57.8415105747;0.5840860626;0.5920091467
2024-02-25 19:49:43;42821325748;31800722213;31800722213;31800722213;58;0;963989;122373866.2178;0.0594103625;3063.1025032413;788;122373866.2178;1835991.25929186;4053833.83739558;10445599.736846;55.2628667915;1.0185485244;0.7858365634
